time,values
0,0
0.00010001,0.496932688
0.00020002,0.993163922
0.00030003,1.487994219
0.00040004,1.980728035
0.00050005,2.470675713
0.00060006,2.95715542
0.00070007,3.439495057
0.00080008,3.917034132
0.00090009,4.389125602
0.0010001,4.855137671
0.00110011,5.314455537
0.00120012,5.766483083
0.00130013,6.210644513
0.00140014,6.646385921
0.00150015,7.073176784
0.00160016,7.49051139
0.00170017,7.897910179
0.00180018,8.294921004
0.00190019,8.681120303
0.0020002,9.056114179
0.00210021,9.419539387
0.00220022,9.771064224
0.00230023,10.11038931
0.00240024,10.4372483
0.00250025,10.7514084
0.00260026,11.05267094
0.00270027,11.34087164
0.00280028,11.61588094
0.00290029,11.8776041
0.0030003,12.12598127
0.00310031,12.3609874
0.00320032,12.58263207
0.00330033,12.79095918
0.00340034,12.9860466
0.00350035,13.16800561
0.00360036,13.33698033
0.00370037,13.49314701
0.00380038,13.6367132
0.00390039,13.76791688
0.0040004,13.88702546
0.00410041,13.99433465
0.00420042,14.09016737
0.00430043,14.17487242
0.00440044,14.24882321
0.00450045,14.3124163
0.00460046,14.36607
0.00470047,14.41022279
0.00480048,14.44533172
0.00490049,14.47187082
0.0050005,14.49032937
0.00510051,14.50121018
0.00520052,14.50502783
0.00530053,14.50230688
0.00540054,14.49358004
0.00550055,14.47938635
0.00560056,14.46026932
0.00570057,14.43677509
0.00580058,14.4094506
0.00590059,14.37884169
0.0060006,14.34549136
0.00610061,14.30993788
0.00620062,14.27271305
0.00630063,14.23434044
0.00640064,14.19533369
0.00650065,14.15619479
0.00660066,14.11741254
0.00670067,14.07946087
0.00680068,14.04279742
0.00690069,14.00786206
0.0070007,13.97507549
0.00710071,13.94483793
0.00720072,13.91752793
0.00730073,13.89350114
0.00740074,13.87308933
0.00750075,13.85659931
0.00760076,13.84431212
0.00770077,13.83648215
0.00780078,13.83333649
0.00790079,13.8350743
0.0080008,13.84186626
0.00810081,13.85385422
0.00820082,13.87115083
0.00830083,13.89383935
0.00840084,13.92197353
0.00850085,13.95557761
0.00860086,13.99464638
0.00870087,14.0391454
0.00880088,14.08901128
0.00890089,14.14415206
0.0090009,14.20444768
0.00910091,14.26975057
0.00920092,14.33988631
0.00930093,14.41465439
0.00940094,14.49382904
0.00950095,14.57716014
0.00960096,14.66437427
0.00970097,14.75517571
0.00980098,14.84924765
0.00990099,14.94625338
0.010001,15.04583756
0.01010101,15.14762754
0.01020102,15.25123478
0.01030103,15.35625627
0.01040104,15.46227598
0.01050105,15.5688664
0.01060106,15.67559007
0.01070107,15.78200117
0.01080108,15.8876471
0.01090109,15.99207007
0.0110011,16.09480873
0.01110111,16.19539982
0.01120112,16.29337974
0.01130113,16.3882862
0.01140114,16.47965978
0.01150115,16.56704556
0.01160116,16.64999465
0.01170117,16.72806573
0.01180118,16.80082652
0.01190119,16.86785527
0.0120012,16.92874217
0.01210121,16.98309069
0.01220122,17.03051892
0.01230123,17.07066081
0.01240124,17.10316737
0.01250125,17.12770779
0.01260126,17.14397053
0.01270127,17.15166426
0.01280128,17.15051882
0.01290129,17.14028606
0.0130013,17.12074054
0.01310131,17.09168026
0.01320132,17.05292726
0.01330133,17.00432806
0.01340134,16.94575415
0.01350135,16.87710228
0.01360136,16.79829471
0.01370137,16.70927937
0.01380138,16.61002993
0.01390139,16.50054577
0.0140014,16.38085186
0.01410141,16.25099858
0.01420142,16.11106142
0.01430143,15.96114064
0.01440144,15.80136078
0.01450145,15.63187018
0.01460146,15.45284032
0.01470147,15.26446519
0.01480148,15.06696049
0.01490149,14.86056284
0.0150015,14.64552887
0.01510151,14.42213431
0.01520152,14.19067292
0.01530153,13.95145547
0.01540154,13.70480861
0.01550155,13.45107375
0.01560156,13.1906058
0.01570157,12.92377198
0.01580158,12.65095054
0.01590159,12.37252946
0.0160016,12.08890516
0.01610161,11.80048112
0.01620162,11.50766658
0.01630163,11.21087516
0.01640164,10.91052353
0.01650165,10.60703004
0.01660166,10.30081336
0.01670167,9.992291199
0.01680168,9.681878938
0.01690169,9.369988368
0.0170017,9.057026418
0.01710171,8.743393915
0.01720172,8.429484395
0.01730173,8.115682933
0.01740174,7.802365035
0.01750175,7.489895569
0.01760176,7.178627745
0.01770177,6.868902155
0.01780178,6.561045868
0.01790179,6.255371585
0.0180018,5.952176863
0.01810181,5.651743392
0.01820182,5.354336357
0.01830183,5.060203859
0.01840184,4.769576407
0.01850185,4.482666492
0.01860186,4.199668225
0.01870187,3.920757058
0.01880188,3.646089577
0.01890189,3.375803372
0.0190019,3.110016977
0.01910191,2.848829897
0.01920192,2.592322702
0.01930193,2.340557192
0.01940194,2.093576644
0.01950195,1.851406122
0.01960196,1.614052863
0.01970197,1.381506724
0.01980198,1.153740699
0.01990199,0.930711498
0.020002,0.712360185
0.02010201,0.498612876
0.02020202,0.289381486
0.02030203,0.084564529
0.02040204,-0.115952029
0.02050205,-0.312293883
0.02060206,-0.504597458
0.02070207,-0.69300894
0.02080208,-0.877683279
0.02090209,-1.058783163
0.0210021,-1.23647797
0.02110211,-1.4109427
0.02120212,-1.582356894
0.02130213,-1.750903542
0.02140214,-1.916767988
0.02150215,-2.080136832
0.02160216,-2.241196836
0.02170217,-2.400133841
0.02180218,-2.557131696
0.02190219,-2.712371196
0.0220022,-2.866029059
0.02210221,-3.01827691
0.02220222,-3.169280304
0.02230223,-3.319197787
0.02240224,-3.468179983
0.02250225,-3.616368729
0.02260226,-3.763896258
0.02270227,-3.910884423
0.02280228,-4.057443974
0.02290229,-4.203673894
0.0230023,-4.349660784
0.02310231,-4.495478313
0.02320232,-4.641186729
0.02330233,-4.786832428
0.02340234,-4.932447596
0.02350235,-5.078049912
0.02360236,-5.223642321
0.02370237,-5.369212875
0.02380238,-5.514734643
0.02390239,-5.660165692
0.0240024,-5.805449139
0.02410241,-5.950513269
0.02420242,-6.095271723
0.02430243,-6.239623761
0.02440244,-6.38345458
0.02450245,-6.526635713
0.02460246,-6.669025479
0.02470247,-6.810469505
0.02480248,-6.950801309
0.02490249,-7.08984293
0.0250025,-7.227405632
0.02510251,-7.363290645
0.02520252,-7.497289969
0.02530253,-7.629187212
0.02540254,-7.758758486
0.02550255,-7.885773334
0.02560256,-8.009995692
0.02570257,-8.131184895
0.02580258,-8.249096697
0.02590259,-8.363484326
0.0260026,-8.474099555
0.02610261,-8.580693793
0.02620262,-8.683019178
0.02630263,-8.780829692
0.02640264,-8.873882263
0.02650265,-8.961937877
0.02660266,-9.044762678
0.02670267,-9.122129056
0.02680268,-9.193816726
0.02690269,-9.259613783
0.0270027,-9.319317728
0.02710271,-9.372736476
0.02720272,-9.419689325
0.02730273,-9.460007887
0.02740274,-9.493536985
0.02750275,-9.520135497
0.02760276,-9.539677161
0.02770277,-9.552051318
0.02780278,-9.557163613
0.02790279,-9.554936627
0.0280028,-9.545310453
0.02810281,-9.528243209
0.02820282,-9.503711483
0.02830283,-9.471710714
0.02840284,-9.432255499
0.02850285,-9.385379829
0.02860286,-9.331137255
0.02870287,-9.269600978
0.02880288,-9.200863863
0.02890289,-9.125038381
0.0290029,-9.042256472
0.02910291,-8.952669335
0.02920292,-8.85644714
0.02930293,-8.753778667
0.02940294,-8.644870875
0.02950295,-8.529948388
0.02960296,-8.409252922
0.02970297,-8.283042636
0.02980298,-8.151591412
0.02990299,-8.015188082
0.030003,-7.874135581
0.03010301,-7.728750043
0.03020302,-7.579359844
0.03030303,-7.42630459
0.03040304,-7.26993405
0.03050305,-7.11060705
0.03060306,-6.94869032
0.03070307,-6.784557303
0.03080308,-6.618586932
0.03090309,-6.451162374
0.0310031,-6.282669751
0.03110311,-6.113496839
0.03120312,-5.944031751
0.03130313,-5.774661608
0.03140314,-5.605771209
0.03150315,-5.437741689
0.03160316,-5.27094919
0.03170317,-5.105763535
0.03180318,-4.942546919
0.03190319,-4.781652615
0.0320032,-4.623423706
0.03210321,-4.468191841
0.03220322,-4.316276027
0.03230323,-4.16798146
0.03240324,-4.023598392
0.03250325,-3.88340105
0.03260326,-3.7476466
0.03270327,-3.616574174
0.03280328,-3.490403948
0.03290329,-3.369336281
0.0330033,-3.25355093
0.03310331,-3.143206326
0.03320332,-3.038438918
0.03330333,-2.939362608
0.03340334,-2.846068244
0.03350335,-2.75862321
0.03360336,-2.677071083
0.03370337,-2.601431386
0.03380338,-2.531699421
0.03390339,-2.467846184
0.0340034,-2.409818373
0.03410341,-2.357538482
0.03420342,-2.310904983
0.03430343,-2.269792593
0.03440344,-2.23405263
0.03450345,-2.203513457
0.03460346,-2.177981009
0.03470347,-2.157239405
0.03480348,-2.141051643
0.03490349,-2.129160375
0.0350035,-2.121288757
0.03510351,-2.117141383
0.03520352,-2.116405281
0.03530353,-2.118750987
0.03540354,-2.123833681
0.03550355,-2.131294388
0.03560356,-2.140761237
0.03570357,-2.151850771
0.03580358,-2.164169314
0.03590359,-2.177314379
0.0360036,-2.190876122
0.03610361,-2.204438823
0.03620362,-2.217582408
0.03630363,-2.229883993
0.03640364,-2.240919452
0.03650365,-2.250264991
0.03660366,-2.257498744
0.03670367,-2.262202367
0.03680368,-2.263962635
0.03690369,-2.262373022
0.0370037,-2.257035286
0.03710371,-2.24756102
0.03720372,-2.233573192
0.03730373,-2.214707644
0.03740374,-2.190614573
0.03750375,-2.160959953
0.03760376,-2.125426932
0.03770377,-2.083717164
0.03780378,-2.035552096
0.03790379,-1.980674189
0.0380038,-1.918848083
0.03810381,-1.849861683
0.03820382,-1.773527184
0.03830383,-1.689682013
0.03840384,-1.598189691
0.03850385,-1.498940615
0.03860386,-1.39185275
0.03870387,-1.276872236
0.03880388,-1.153973897
0.03890389,-1.023161663
0.0390039,-0.88446889
0.03910391,-0.737958586
0.03920392,-0.583723534
0.03930393,-0.421886324
0.03940394,-0.252599272
0.03950395,-0.076044248
0.03960396,0.107567601
0.03970397,0.297996227
0.03980398,0.494973158
0.03990399,0.698202068
0.040004,0.907359453
0.04010401,1.122095397
0.04020402,1.342034427
0.04030403,1.566776468
0.04040404,1.795897878
0.04050405,2.028952571
0.04060406,2.265473221
0.04070407,2.504972546
0.04080408,2.746944663
0.04090409,2.990866509
0.0410041,3.236199339
0.04110411,3.482390273
0.04120412,3.728873904
0.04130413,3.975073956
0.04140414,4.220404985
0.04150415,4.464274124
0.04160416,4.706082862
0.04170417,4.945228842
0.04180418,5.181107699
0.04190419,5.413114896
0.0420042,5.640647587
0.04210421,5.863106472
0.04220422,6.079897656
0.04230423,6.290434504
0.04240424,6.494139476
0.04250425,6.690445941
0.04260426,6.878799975
0.04270427,7.058662118
0.04280428,7.229509092
0.04290429,7.390835488
0.0430043,7.542155389
0.04310431,7.683003946
0.04320432,7.812938897
0.04330433,7.931542011
0.04340434,8.038420475
0.04350435,8.133208192
0.04360436,8.215567014
0.04370437,8.285187883
0.04380438,8.341791884
0.04390439,8.385131213
0.0440044,8.414990047
0.04410441,8.431185319
0.04420442,8.433567386
0.04430443,8.422020607
0.04440444,8.396463802
0.04450445,8.356850617
0.04460446,8.303169775
0.04470447,8.235445219
0.04480448,8.153736144
0.04490449,8.058136925
0.0450045,7.948776931
0.04510451,7.825820228
0.04520452,7.689465178
0.04530453,7.539943928
0.04540454,7.377521796
0.04550455,7.202496548
0.04560456,7.015197575
0.04570457,6.815984977
0.04580458,6.605248541
0.04590459,6.383406632
0.0460046,6.15090499
0.04610461,5.908215447
0.04620462,5.655834557
0.04630463,5.394282149
0.04640464,5.12409981
0.04650465,4.845849297
0.04660466,4.560110887
0.04670467,4.267481672
0.04680468,3.968573794
0.04690469,3.664012646
0.0470047,3.354435019
0.04710471,3.040487221
0.04720472,2.722823173
0.04730473,2.402102467
0.04740474,2.078988423
0.04750475,1.754146128
0.04760476,1.428240474
0.04770477,1.101934196
0.04780478,0.775885924
0.04790479,0.450748243
0.0480048,0.127165784
0.04810481,-0.194226667
0.04820482,-0.512806018
0.04830483,-0.827962686
0.04840484,-1.139102364
0.04850485,-1.445647736
0.04860486,-1.747040136
0.04870487,-2.042741144
0.04880488,-2.332234118
0.04890489,-2.61502565
0.0490049,-2.890646944
0.04910491,-3.15865512
0.04920492,-3.418634424
0.04930493,-3.670197355
0.04940494,-3.912985696
0.04950495,-4.146671451
0.04960496,-4.370957683
0.04970497,-4.585579246
0.04980498,-4.790303424
0.04990499,-4.984930452
0.050005001,-5.169293938
0.050105011,-5.343261176
0.050205021,-5.506733346
0.050305031,-5.659645607
0.050405041,-5.801967082
0.050505051,-5.933700731
0.050605061,-6.054883117
0.050705071,-6.165584062
0.050805081,-6.265906197
0.050905091,-6.355984414
0.051005101,-6.435985203
0.051105111,-6.506105899
0.051205121,-6.566573828
0.051305131,-6.617645356
0.051405141,-6.659604852
0.051505151,-6.692763559
0.051605161,-6.717458381
0.051705171,-6.734050598
0.051805181,-6.742924495
0.051905191,-6.744485928
0.052005201,-6.739160823
0.052105211,-6.727393615
0.052205221,-6.709645629
0.052305231,-6.686393417
0.052405241,-6.658127046
0.052505251,-6.625348351
0.052605261,-6.588569155
0.052705271,-6.54830946
0.052805281,-6.505095625
0.052905291,-6.45945852
0.053005301,-6.411931683
0.053105311,-6.363049466
0.053205321,-6.313345188
0.053305331,-6.263349303
0.053405341,-6.21358758
0.053505351,-6.164579303
0.053605361,-6.11683551
0.053705371,-6.07085725
0.053805381,-6.027133899
0.053905391,-5.986141502
0.054005401,-5.948341183
0.054105411,-5.914177596
0.054205421,-5.88407745
0.054305431,-5.85844809
0.054405441,-5.837676149
0.054505451,-5.822126282
0.054605461,-5.81213997
0.054705471,-5.808034408
0.054805481,-5.81010148
0.054905491,-5.818606824
0.055005501,-5.833788981
0.055105511,-5.855858648
0.055205521,-5.884998018
0.055305531,-5.921360225
0.055405541,-5.965068883
0.055505551,-6.016217728
0.055605561,-6.074870358
0.055705571,-6.141060084
0.055805581,-6.214789871
0.055905591,-6.296032387
0.056005601,-6.384730155
0.056105611,-6.480795799
0.056205621,-6.584112394
0.056305631,-6.694533912
0.056405641,-6.811885764
0.056505651,-6.935965432
0.056605661,-7.066543194
0.056705671,-7.203362943
0.056805681,-7.346143078
0.056905691,-7.494577484
0.057005701,-7.648336595
0.057105711,-7.807068517
0.057205721,-7.970400234
0.057305731,-8.137938871
0.057405741,-8.309273021
0.057505751,-8.483974128
0.057605761,-8.66159792
0.057705771,-8.841685888
0.057805781,-9.023766806
0.057905791,-9.207358288
0.058005801,-9.39196837
0.058105811,-9.577097124
0.058205821,-9.762238281
0.058305831,-9.946880879
0.058405841,-10.13051091
0.058505851,-10.31261296
0.058605861,-10.49267188
0.058705871,-10.67017439
0.058805881,-10.84461076
0.058905891,-11.01547634
0.059005901,-11.18227318
0.059105911,-11.34451157
0.059205921,-11.50171156
0.059305931,-11.6534044
0.059405941,-11.799134
0.059505951,-11.93845827
0.059605961,-12.07095045
0.059705971,-12.19620039
0.059805981,-12.31381571
0.059905991,-12.42342296
0.060006001,-12.52466865
0.060106011,-12.61722027
0.060206021,-12.70076717
0.060306031,-12.7750214
0.060406041,-12.83971848
0.060506051,-12.89461801
0.060606061,-12.93950433
0.060706071,-12.97418692
0.060806081,-12.99850088
0.060906091,-13.01230723
0.061006101,-13.0154931
0.061106111,-13.00797191
0.061206121,-12.98968341
0.061306131,-12.9605936
0.061406141,-12.92069467
0.061506151,-12.87000472
0.061606161,-12.8085675
